Date received,Product,Sub-product,Issue,Complaint list,Company,State,Tags,Date sent,Company response,Timely response,Consumer disputed,Date difference(%)
09-08-2015,Student loan,Non-federal student loan,Dealing with my lender or servicer,No public response provided,IQOR US INC,FL,Servicemember,11-08-2015,Closed with non-monetary relief,Yes,No,7.9
26-01-2017,Student loan,Federal student loan servicing,Can't repay my loan,Acted by contract/law,GREAT LAKES,TN,Older American,26-01-2017,Closed with explanation,Yes,No,0
26-03-2015,Debt collection,Credit card,Improper contact or sharing of info,Acted by contract/law,NAVY FEDERAL CREDIT UNION,NH,Servicemember,31-03-2015,Closed with non-monetary relief,Yes,No,19.78
26-01-2017,Debt collection,Credit card,Cont'd attempts collect debt not owed,responds  only to consumer,"BANK OF AMERICA, NATIONAL ASSOCIATION",FL,Older American,31-01-2017,Closed with explanation,Yes,Yes,19.77
14-09-2015,Debt collection,"Other (i.e. phone, health club, etc.)",Improper contact or sharing of info,Isolated error,Monterey Financial Services LLC,NV,Older American,14-09-2015,Closed with explanation,Yes,No,0
23-09-2016,Debt collection,Credit card,Communication tactics,responds  only to consumer,Radius Global Solutions LLC,IN,Servicemember,23-09-2016,Closed with explanation,Yes,No,0
16-03-2017,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,responds  only to consumer,"I.C. System, Inc.",DC,Older American,16-03-2017,Closed with explanation,Yes,No,0
16-08-2016,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,Acted by contract/law,"FIDELITY CAPITAL HOLDINGS, INC",GA,Older American,16-08-2016,Closed with explanation,No,No,0
01-10-2016,Debt collection,"Other (i.e. phone, health club, etc.)",Taking/threatening an illegal action,company disputing complaint,"FIDELITY CAPITAL HOLDINGS, INC",CA,"Older American, Servicemember",01-10-2016,Closed with explanation,Yes,No,0
26-06-2016,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,Acted by contract/law,"The Affiliated Group, Inc",MN,Servicemember,26-06-2016,Closed with explanation,Yes,No,0
03-08-2015,Debt collection,Medical,Disclosure verification of debt,No public response provided,"Allied Collection Services, Inc. (Nevada)",NV,Servicemember,03-08-2015,Closed with explanation,Yes,No,0
01-03-2016,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,Acted by contract/law,"Duncan Solutions, lnc.",VA,"Older American, Servicemember",03-03-2016,Closed with explanation,Yes,No,7.91
22-05-2015,Debt collection,Medical,Cont'd attempts collect debt not owed,Acted by contract/law,"California Business Bureau, Inc.",CA,Servicemember,28-05-2015,Closed with explanation,Yes,No,23.74
02-12-2016,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,Acted by contract/law,"Carter-Young, Inc.",MS,Servicemember,13-12-2016,Closed with explanation,Yes,No,43.52
11-09-2016,Debt collection,"Other (i.e. phone, health club, etc.)",False statements or representation,Acted by contract/law,"Amsher Collection Services, Inc.",FL,Older American,12-11-2016,Closed with explanation,Yes,No,245.34
15-02-2017,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,Acted by contract/law,"Amsher Collection Services, Inc.",FL,Servicemember,15-02-2017,Closed with explanation,Yes,No,0
24-03-2017,Debt collection,Credit card,Cont'd attempts collect debt not owed,responds  only to consumer,"CITIBANK, N.A.",CA,Older American,24-03-2017,Closed with explanation,Yes,No,0
02-07-2016,Debt collection,Credit card,Improper contact or sharing of info,responds  only to consumer,U.S. BANCORP,AZ,Servicemember,06-07-2016,Closed with non-monetary relief,Yes,No,15.84
13-03-2016,Debt collection,Credit card,Cont'd attempts collect debt not owed,Company can't verify or dispute the facts in the complaint,"Capital Management Services, LP",FL,Older American,13-03-2016,Closed,Yes,No,0
28-12-2015,Debt collection,Medical,Cont'd attempts collect debt not owed,Acted by contract/law,Medical Business Bureau,TX,Servicemember,28-12-2015,Closed with explanation,Yes,No,0
13-05-2016,Debt collection,Medical,Disclosure verification of debt,Acted by contract/law,"ATG Credit, LLC",NC,Older American,13-05-2016,Closed with explanation,Yes,No,0
22-07-2015,Debt collection,"Other (i.e. phone, health club, etc.)",Disclosure verification of debt,company disputing complaint,"First Federal Credit Control, Inc.",GA,Older American,28-07-2015,Closed with explanation,Yes,No,23.76
05-08-2016,Debt collection,Credit card,Cont'd attempts collect debt not owed,responds  only to consumer,"Miller, Stark, Klein and Associates",AZ,Servicemember,26-09-2016,Closed with explanation,Yes,No,175.31
21-06-2016,Debt collection,Credit card,Cont'd attempts collect debt not owed,responds  only to consumer,IQOR US INC,GA,Servicemember,23-06-2016,Closed with non-monetary relief,Yes,No,7.91
29-03-2016,Debt collection,Medical,Cont'd attempts collect debt not owed,responds  only to consumer,"WAKEFIELD & ASSOCIATES, INC.",GA,Older American,29-03-2016,Closed with explanation,Yes,No,0
29-07-2015,Debt collection,Credit card,Cont'd attempts collect debt not owed,Acted by contract/law,"First National Collection Bureau, Inc.",KS,Servicemember,29-07-2015,Closed with explanation,Yes,No,0
13-12-2016,Debt collection,Credit card,Cont'd attempts collect debt not owed,responds  only to consumer,WELLS FARGO & COMPANY,FL,Older American,14-12-2016,Closed with explanation,Yes,No,3.96
07-12-2015,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,No public response provided,"Fidelity National Information Services, Inc. (FNIS)",OK,Older American,07-12-2015,Closed with explanation,Yes,No,0
25-07-2016,Debt collection,"Other (i.e. phone, health club, etc.)",Disclosure verification of debt,Acted by contract/law,First Credit Services Inc.,NC,Servicemember,25-07-2016,Closed with explanation,Yes,No,0
17-12-2016,Debt collection,Credit card,Cont'd attempts collect debt not owed,responds  only to consumer,SYNCHRONY FINANCIAL,LA,Servicemember,19-12-2016,Closed with explanation,Yes,No,7.92
20-11-2015,Debt collection,Credit card,False statements or representation,Acted by contract/law,Johnson Mark LLC,ID,Servicemember,20-11-2015,Closed with explanation,No,No,0
08-11-2016,Debt collection,"Other (i.e. phone, health club, etc.)",Disclosure verification of debt,Acted by contract/law,Focus Holding Company,MS,Servicemember,08-11-2016,Closed with explanation,Yes,No,0
05-07-2015,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,Acted by contract/law,ERC,CA,Older American,05-07-2015,Closed with non-monetary relief,Yes,No,0
22-11-2015,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,Acted by contract/law,"First National Collection Bureau, Inc.",TN,Older American,22-11-2015,Closed with explanation,Yes,Yes,0
17-09-2015,Debt collection,"Other (i.e. phone, health club, etc.)",Disclosure verification of debt,company disputing complaint,"National Credit Systems,Inc.",TN,Servicemember,17-09-2015,Closed with explanation,Yes,No,0
06-04-2016,Debt collection,Medical,Cont'd attempts collect debt not owed,responds  only to consumer,SYNCHRONY FINANCIAL,IL,Servicemember,06-04-2016,Closed with monetary relief,Yes,No,0
13-12-2016,Debt collection,Medical,Communication tactics,company disputing complaint,Profit Services Group,GA,Servicemember,14-12-2016,Closed with explanation,Yes,No,3.96
26-04-2016,Debt collection,Credit card,Improper contact or sharing of info,Third party action,"Cohen McNeile & Pappas, PC",MO,Servicemember,29-04-2016,Closed with explanation,Yes,Yes,11.85
10-09-2015,Debt collection,Auto,Taking/threatening an illegal action,Acted by contract/law,"Autovest, L.L.C.",TN,Servicemember,10-09-2015,Closed with explanation,Yes,Yes,0
07-02-2017,Debt collection,Medical,Cont'd attempts collect debt not owed,Acted by contract/law,TH Professional & Medical Collections LTD,NC,Older American,10-02-2017,Closed with explanation,Yes,Yes,11.86
25-12-2015,Debt collection,Medical,False statements or representation,Acted by contract/law,"PDQ Services, Inc.",GA,"Older American, Servicemember",30-12-2015,Closed with explanation,Yes,Yes,19.79
29-03-2016,Debt collection,Credit card,False statements or representation,opportunity for Consumer satisfaction,"ZENCO COLLECTION, LLC",TX,Servicemember,29-03-2016,Closed with explanation,No,No,0
19-03-2015,Debt collection,Credit card,Communication tactics,No public response provided,"CITIBANK, N.A.",SC,Older American,19-03-2015,Closed with non-monetary relief,Yes,No,0
06-05-2015,Debt collection,Credit card,False statements or representation,No public response provided,"CITIBANK, N.A.",NV,Servicemember,06-05-2015,Closed with explanation,Yes,No,0
04-05-2016,Debt collection,Mortgage,Taking/threatening an illegal action,Acted by contract/law,"Weinstock, Friedman, & Friedman, P.A.",NH,Servicemember,09-05-2016,Closed with explanation,Yes,Yes,19.77
25-02-2016,Debt collection,Medical,Disclosure verification of debt,Acted by contract/law,AAA Collections,SD,Older American,25-02-2016,Closed with explanation,Yes,No,0
02-06-2015,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,Misunderstanding,"CCS Financial Services, Inc.",AL,Servicemember,02-06-2015,Closed with explanation,No,No,0
14-07-2016,Debt collection,Federal student loan,Cont'd attempts collect debt not owed,responds  only to consumer,Radius Global Solutions LLC,TX,Servicemember,14-07-2016,Closed with explanation,Yes,Yes,0
01-08-2016,Debt collection,Medical,Cont'd attempts collect debt not owed,responds  only to consumer,"Debt Recovery Solutions, LLC",OH,Servicemember,01-08-2016,Closed with explanation,Yes,No,0
09-12-2016,Debt collection,Medical,False statements or representation,Acted by contract/law,"GOLD KEY CREDIT, INC.",FL,Older American,09-12-2016,Closed with non-monetary relief,Yes,No,0
01-04-2016,Student loan,Non-federal student loan,Dealing with my lender or servicer,responds  only to consumer,"CITIBANK, N.A.",NJ,Older American,01-04-2016,Closed with non-monetary relief,Yes,No,0
04-01-2017,Debt collection,Auto,False statements or representation,Acted by contract/law,Smith Debnam Narron Drake Saintsing & Myers LLP,FL,Servicemember,04-01-2017,Closed with explanation,Yes,No,0
05-10-2015,Debt collection,"Other (i.e. phone, health club, etc.)",Communication tactics,No public response provided,"Receivables Performance Management, LLC",IN,Servicemember,05-10-2015,Closed with explanation,Yes,No,0
07-01-2016,Debt collection,Medical,Cont'd attempts collect debt not owed,No public response provided,Radius Global Solutions LLC,MA,Older American,07-01-2016,Closed with explanation,Yes,No,0
09-06-2015,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,No public response provided,Radius Global Solutions LLC,ND,Servicemember,09-06-2015,Closed with explanation,Yes,No,0
28-03-2017,Debt collection,"Other (i.e. phone, health club, etc.)",Taking/threatening an illegal action,responds  only to consumer,Oracle Financial Group LLC.,TX,Servicemember,28-03-2017,Closed with non-monetary relief,Yes,No,0
23-08-2015,Debt collection,Medical,Disclosure verification of debt,Acted by contract/law,"Commonwealth Financial Systems, Inc.",GA,Older American,02-09-2015,Closed with explanation,Yes,Yes,39.59
28-04-2015,Debt collection,Credit card,Communication tactics,No public response provided,Radius Global Solutions LLC,FL,Older American,28-04-2015,Closed with explanation,Yes,No,0
13-04-2016,Debt collection,Credit card,False statements or representation,responds  only to consumer,"CITIBANK, N.A.",FL,"Older American, Servicemember",13-04-2016,Closed with explanation,Yes,No,0
05-10-2016,Debt collection,"Other (i.e. phone, health club, etc.)",Disclosure verification of debt,Acted by contract/law,ERC,MA,Servicemember,05-10-2016,Closed with non-monetary relief,Yes,No,0
29-03-2016,Debt collection,Medical,Cont'd attempts collect debt not owed,company disputing complaint,"United Collection Service, Inc (FL)",FL,Servicemember,29-03-2016,Closed with explanation,Yes,Yes,0
24-01-2016,Debt collection,"Other (i.e. phone, health club, etc.)",Disclosure verification of debt,Acted by contract/law,CL Holdings LLC,AZ,Servicemember,24-01-2016,Closed with non-monetary relief,Yes,No,0
09-12-2016,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,responds  only to consumer,"Media Collections, Inc",VA,Servicemember,09-12-2016,Closed with non-monetary relief,Yes,No,0
09-07-2015,Debt collection,"Other (i.e. phone, health club, etc.)",Taking/threatening an illegal action,Misunderstanding,"CCS Financial Services, Inc.",FL,"Older American, Servicemember",17-07-2015,Closed with explanation,Yes,No,1.23
05-04-2017,Debt collection,Medical,Cont'd attempts collect debt not owed,Acted by contract/law,"Capital Accounts, LLC",KY,Older American,05-04-2017,Closed with explanation,Yes,No,0
08-07-2015,Debt collection,"Other (i.e. phone, health club, etc.)",Disclosure verification of debt,No public response provided,CONTRACT CALLERS INC,OH,Servicemember,08-07-2015,Closed,Yes,No,0
21-03-2016,Debt collection,"Other (i.e. phone, health club, etc.)",Disclosure verification of debt,Acted by contract/law,Merchants' Credit Guide Company,NJ,Older American,06-05-2016,Closed with explanation,Yes,Yes,181.99
05-04-2016,Debt collection,Medical,False statements or representation,responds  only to consumer,"Credit Counsel, Inc.",GA,Servicemember,15-09-2016,Closed with explanation,Yes,No,584.08
25-06-2015,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,Acted by contract/law,CONTRACT CALLERS INC,MS,Servicemember,30-06-2015,Closed,Yes,No,19.79
29-03-2016,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,Acted by contract/law,"Stellar Recovery, Inc.",NC,Servicemember,29-03-2016,Closed with explanation,Yes,No,0
25-02-2016,Debt collection,Credit card,Communication tactics,No public response provided,Alpha Recovery Corp,MD,Servicemember,25-02-2016,Closed with non-monetary relief,Yes,Yes,0
28-07-2015,Debt collection,"Other (i.e. phone, health club, etc.)",Taking/threatening an illegal action,company disputing complaint,ERC,CO,Servicemember,30-07-2015,Closed with non-monetary relief,Yes,No,7.9
08-10-2015,Debt collection,Medical,Improper contact or sharing of info,No public response provided,"Avadyne Health Holdings, Inc",IL,Older American,08-10-2015,Closed with explanation,Yes,No,0
22-12-2015,Debt collection,Credit card,Cont'd attempts collect debt not owed,No public response provided,"CITIBANK, N.A.",MA,Older American,22-12-2015,Closed with monetary relief,Yes,No,0
02-09-2016,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,responds  only to consumer,"ProCollect, Inc.",TX,Servicemember,02-09-2016,Closed with explanation,Yes,No,0
17-02-2017,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,responds  only to consumer,"ProCollect, Inc.",OH,Servicemember,17-02-2017,Closed with explanation,Yes,Yes,0
07-08-2015,Debt collection,Credit card,Taking/threatening an illegal action,No public response provided,"BANK OF AMERICA, NATIONAL ASSOCIATION",OK,Servicemember,07-08-2015,Closed with explanation,Yes,No,0
28-12-2016,Debt collection,Credit card,Communication tactics,Acted by contract/law,"Dominion Law Associates, P.L.L.C.",VA,"Older American, Servicemember",28-12-2016,Closed with explanation,Yes,No,0
03-02-2017,Debt collection,Medical,Disclosure verification of debt,Acted by contract/law,Professional Recovery Management,FL,Servicemember,03-02-2017,Closed with explanation,Yes,No,0
27-01-2017,Debt collection,Medical,Disclosure verification of debt,responds  only to consumer,"Debt Recovery Solutions of Ohio, Inc.",OH,Older American,29-03-2017,Closed,Yes,No,210.93
06-04-2017,Debt collection,Medical,Cont'd attempts collect debt not owed,Acted by contract/law,"ATG Credit, LLC",IL,Servicemember,06-04-2017,Closed with explanation,Yes,Yes,0
07-05-2016,Debt collection,"Other (i.e. phone, health club, etc.)",Disclosure verification of debt,Acted by contract/law,"Stellar Recovery, Inc.",CA,"Older American, Servicemember",09-05-2016,Closed with explanation,Yes,No,7.89
06-04-2015,Student loan,Non-federal student loan,Dealing with my lender or servicer,company disputing complaint,SLM CORPORATION,AE,Servicemember,06-04-2015,Closed with explanation,Yes,No,0
10-12-2015,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,company disputing complaint,ERC,OH,Servicemember,10-12-2015,Closed with non-monetary relief,Yes,No,0
14-02-2017,Debt collection,"Other (i.e. phone, health club, etc.)",False statements or representation,Acted by contract/law,ERC,TX,Older American,14-02-2017,Closed,Yes,No,0
21-03-2016,Debt collection,Auto,Cont'd attempts collect debt not owed,Misunderstanding,"CCS Financial Services, Inc.",CA,Servicemember,21-03-2016,Closed with explanation,Yes,No,0
30-04-2015,Debt collection,"Other (i.e. phone, health club, etc.)",False statements or representation,Acted by contract/law,"Credit Bureau Systems, Inc., Paducah, KY Branch",GA,Servicemember,30-04-2015,Closed with explanation,Yes,Yes,0
10-09-2015,Debt collection,Credit card,Taking/threatening an illegal action,Third party action,"CASHCALL, INC.",CO,Servicemember,10-09-2015,Closed with explanation,Yes,No,0
25-05-2016,Debt collection,"Other (i.e. phone, health club, etc.)",Disclosure verification of debt,Acted by contract/law,"National Credit Systems,Inc.",GA,Servicemember,25-05-2016,Closed with explanation,Yes,Yes,0
24-08-2015,Debt collection,Mortgage,False statements or representation,No public response provided,WELLS FARGO & COMPANY,MD,Servicemember,29-09-2015,Closed with explanation,Yes,No,142.45
18-02-2016,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,Acted by contract/law,"McCarthy, Burgess & Wolff, Inc.",MN,Older American,23-02-2016,Closed with explanation,Yes,No,19.8
24-01-2017,Debt collection,Medical,Cont'd attempts collect debt not owed,Acted by contract/law,Sarma,TX,"Older American, Servicemember",27-01-2017,Closed with explanation,Yes,No,11.88
28-11-2015,Debt collection,Payday loan,Taking/threatening an illegal action,company disputing complaint,Cooper Hoffman Klein Associates,TX,Servicemember,28-11-2015,Closed with explanation,Yes,No,0
24-09-2015,Debt collection,Credit card,Taking/threatening an illegal action,Acted by contract/law,"Mary Jane M. Elliott, P.C. Attorneys At Law",MI,Servicemember,24-09-2015,Closed with explanation,Yes,No,0
16-05-2016,Debt collection,Medical,Cont'd attempts collect debt not owed,responds  only to consumer,"Debt Recovery Solutions, LLC",MD,Servicemember,16-05-2016,Closed with explanation,Yes,No,0
11-05-2016,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,responds  only to consumer,"Debt Recovery Solutions, LLC",RI,Servicemember,11-05-2016,Closed with explanation,Yes,No,0
26-03-2015,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,No public response provided,"CMRE Financial Services, Inc.",CA,Servicemember,26-03-2015,Closed with explanation,Yes,No,0
05-11-2015,Debt collection,Credit card,Communication tactics,No public response provided,"Convergent Resources, Inc.",OH,Older American,05-11-2015,Closed with explanation,Yes,No,0
20-01-2017,Student loan,Federal student loan servicing,Can't repay my loan,Acted by contract/law,GREAT LAKES,VA,Older American,28-02-2017,Closed with explanation,Yes,No,154.33
29-12-2015,Debt collection,Credit card,Communication tactics,No public response provided,"Selip & Stylianou, LLP",NY,Older American,14-01-2016,Closed with explanation,Yes,No,63.32
15-08-2015,Debt collection,"Other (i.e. phone, health club, etc.)",Disclosure verification of debt,No public response provided,"FAIR COLLECTIONS & OUTSOURCING, INC.",CA,"Older American, Servicemember",15-08-2015,Closed with explanation,Yes,No,0
11-01-2017,Debt collection,Payday loan,Cont'd attempts collect debt not owed,Third party action,"Advance America, Cash Advance Centers, Inc.",TN,Servicemember,11-01-2017,Closed with explanation,Yes,No,0
14-09-2016,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,Acted by contract/law,Linebarger Goggan Blair & Sampson LLP,TX,"Older American, Servicemember",14-09-2016,Closed with explanation,Yes,No,0
22-07-2015,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,company disputing complaint,"GreenSky, LLC",GA,"Older American, Servicemember",29-07-2015,Closed with explanation,Yes,Yes,27.72
05-09-2015,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,Acted by contract/law,"NRA Group, LLC",NC,Older American,05-09-2015,Closed with explanation,No,No,0
23-09-2015,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,Acted by contract/law,"Amsher Collection Services, Inc.",FL,Servicemember,23-09-2015,Closed with explanation,Yes,No,0
25-11-2015,Debt collection,"Other (i.e. phone, health club, etc.)",Disclosure verification of debt,company disputing complaint,"Southwest Credit Systems, L.P.",MD,Servicemember,25-11-2015,Closed,No,No,0
05-11-2015,Debt collection,Medical,Disclosure verification of debt,Third party action,KINGS CREDIT SERVICES,HI,Older American,05-11-2015,Closed with explanation,Yes,No,0
20-09-2016,Debt collection,Medical,Communication tactics,responds  only to consumer,"Thunderbird Collection Specialists, Inc.",AZ,Servicemember,20-09-2016,Closed with explanation,No,No,0
26-06-2016,Student loan,Non-federal student loan,Getting a loan,Acted by contract/law,Student Loan Finance Corporation,MN,Servicemember,26-06-2016,Closed with explanation,Yes,No,0
30-09-2016,Debt collection,Medical,False statements or representation,Acted by contract/law,"Harris & Harris, Ltd.",FL,Servicemember,30-09-2016,Closed with explanation,Yes,No,0
27-08-2015,Debt collection,Medical,Cont'd attempts collect debt not owed,No public response provided,Revenue Recovery Corporation,KY,Servicemember,27-08-2015,Closed with explanation,Yes,No,0
19-11-2016,Debt collection,Medical,Disclosure verification of debt,Acted by contract/law,"Overton, Russell, Doerr and Donovan, LLP",NY,"Older American, Servicemember",19-11-2016,Closed with explanation,Yes,Yes,0
04-08-2016,Debt collection,Medical,Disclosure verification of debt,company disputing complaint,"RICHLAND HOLDINGS, INC.",NV,Servicemember,04-08-2016,Closed with explanation,Yes,Yes,0
27-08-2016,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,Misunderstanding,"Full Circle Financial Services, LLC",AZ,Older American,27-08-2016,Closed with explanation,Yes,No,0
16-04-2015,Debt collection,Mortgage,Taking/threatening an illegal action,No public response provided,Specialized Loan Servicing Holdings LLC,CA,Servicemember,16-04-2015,Closed with explanation,Yes,No,0
11-03-2016,Debt collection,"Other (i.e. phone, health club, etc.)",False statements or representation,Acted by contract/law,"Pinnacle Credit Services, LLC",CO,Servicemember,11-03-2016,Closed with explanation,Yes,No,0
06-06-2016,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,responds  only to consumer,"Progressive Financial Services, Inc.",CA,"Older American, Servicemember",06-06-2016,Closed with explanation,Yes,No,0
13-02-2017,Debt collection,"Other (i.e. phone, health club, etc.)",False statements or representation,responds  only to consumer,"Progressive Financial Services, Inc.",FL,Older American,13-02-2017,Closed with explanation,Yes,No,0
15-02-2017,Debt collection,"Other (i.e. phone, health club, etc.)",False statements or representation,Acted by contract/law,"Duncan Solutions, lnc.",VA,"Older American, Servicemember",21-02-2017,Closed with explanation,Yes,No,23.73
14-12-2016,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,responds  only to consumer,IQOR US INC,VA,Servicemember,14-12-2016,Closed with non-monetary relief,Yes,No,0
25-05-2016,Debt collection,Medical,Disclosure verification of debt,responds  only to consumer,TENET HEALTHCARE CORPORATION,FL,Older American,25-05-2016,Closed with explanation,Yes,No,0
19-01-2017,Student loan,Non-federal student loan,Can't repay my loan,Acted by contract/law,SLM CORPORATION,NJ,Servicemember,19-01-2017,Closed with explanation,Yes,No,0
24-03-2016,Debt collection,Medical,Cont'd attempts collect debt not owed,Acted by contract/law,"Aargon Agency, Inc.",WA,Older American,24-03-2016,Closed,Yes,No,0
19-07-2015,Debt collection,"Other (i.e. phone, health club, etc.)",Disclosure verification of debt,Acted by contract/law,Senex Services Corp.,TN,Servicemember,24-07-2015,Closed with non-monetary relief,Yes,No,19.79
18-05-2016,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,responds  only to consumer,"ProCollect, Inc.",OR,Servicemember,18-05-2016,Closed with explanation,Yes,No,0
30-12-2016,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,Acted by contract/law,ERC,CO,Servicemember,30-12-2016,Closed,Yes,No,0
23-03-2016,Debt collection,Credit card,Cont'd attempts collect debt not owed,responds  only to consumer,"Debt Recovery Solutions, LLC",NJ,Older American,25-03-2016,Closed with explanation,Yes,No,7.91
08-06-2016,Debt collection,Mortgage,False statements or representation,Acted by contract/law,Ditech Financial LLC,MI,Servicemember,08-06-2016,Closed with explanation,Yes,Yes,0
21-02-2016,Debt collection,Credit card,Cont'd attempts collect debt not owed,No public response provided,IQOR US INC,CT,"Older American, Servicemember",21-02-2016,Closed with non-monetary relief,Yes,No,0
09-08-2016,Debt collection,Credit card,Communication tactics,responds  only to consumer,"CITIBANK, N.A.",TX,Older American,09-08-2016,Closed with non-monetary relief,Yes,No,0
03-11-2016,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,responds  only to consumer,"D.B.M.E., INC",NJ,Servicemember,04-11-2016,Closed with explanation,Yes,No,3.97
28-03-2017,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,Acted by contract/law,ERC,FL,Older American,28-03-2017,Closed,Yes,No,0
16-02-2016,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,Misunderstanding,"HW Holding, Inc",FL,Servicemember,19-02-2016,Closed with explanation,Yes,No,11.87
08-12-2016,Debt collection,Payday loan,Communication tactics,Third party action,"CASHCALL, INC.",NJ,Servicemember,08-12-2016,Closed with explanation,Yes,No,0
21-12-2016,Debt collection,Medical,Cont'd attempts collect debt not owed,responds  only to consumer,"I.C. System, Inc.",GA,Servicemember,21-12-2016,Closed with explanation,Yes,No,0
14-03-2017,Student loan,Non-federal student loan,Dealing with my lender or servicer,responds  only to consumer,WELLS FARGO & COMPANY,MD,Servicemember,16-03-2017,Closed with explanation,Yes,No,7.91
17-12-2015,Debt collection,Credit card,Disclosure verification of debt,No public response provided,"BANK OF AMERICA, NATIONAL ASSOCIATION",PA,Older American,21-12-2015,Closed with explanation,Yes,No,15.84
19-01-2017,Debt collection,Credit card,Disclosure verification of debt,responds  only to consumer,SYNCHRONY FINANCIAL,FL,Servicemember,23-01-2017,Closed with explanation,Yes,Yes,15.83
18-06-2015,Debt collection,Auto,Cont'd attempts collect debt not owed,Company can't verify or dispute the facts in the complaint,Roquemore Holdings LLC,NC,Servicemember,18-06-2015,Closed with explanation,Yes,No,0
05-08-2015,Debt collection,Medical,Cont'd attempts collect debt not owed,No public response provided,"CMRE Financial Services, Inc.",CA,Older American,10-08-2015,Closed with explanation,Yes,No,19.79
08-12-2015,Debt collection,Medical,Communication tactics,No public response provided,"CMRE Financial Services, Inc.",CA,Servicemember,08-12-2015,Closed with explanation,Yes,No,0
01-08-2016,Student loan,Federal student loan servicing,Dealing with my lender or servicer,Acted by contract/law,GREAT LAKES,ND,"Older American, Servicemember",01-08-2016,Closed with explanation,Yes,No,0
03-06-2015,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,Acted by contract/law,"Advanced Collection Bureau, Inc.",TX,Servicemember,22-07-2015,Closed with explanation,Yes,No,163.43
11-10-2016,Debt collection,Mortgage,Taking/threatening an illegal action,Acted by contract/law,NAVY FEDERAL CREDIT UNION,NV,Servicemember,11-10-2016,Closed with non-monetary relief,Yes,Yes,0
06-08-2015,Debt collection,Credit card,Communication tactics,No public response provided,"CITIBANK, N.A.",NJ,Servicemember,06-08-2015,Closed with explanation,Yes,Yes,0
30-11-2015,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,Acted by contract/law,"Colony Brands, Inc.",FL,Servicemember,04-12-2015,Closed with non-monetary relief,Yes,No,15.81
02-09-2016,Debt collection,"Other (i.e. phone, health club, etc.)",Communication tactics,responds  only to consumer,IQOR US INC,IL,Servicemember,02-09-2016,Closed with non-monetary relief,Yes,No,0
12-04-2016,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,Acted by contract/law,"Pinnacle Credit Services, LLC",AR,Servicemember,12-04-2016,Closed with explanation,Yes,No,0
08-05-2015,Debt collection,"Other (i.e. phone, health club, etc.)",Improper contact or sharing of info,Company can't verify or dispute the facts in the complaint,"Merchants Adjustment Service, Inc.",MI,Older American,08-05-2015,Closed with explanation,Yes,No,0
